State,Constituency,Work Category,Work ID A,Description A,MP A,Work ID B,Description B,MP B,Similarity,Match Strength
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/238631,"Construction of a community building on the available land in Daudnagar Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.",Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/238628,"Construction of a community building on the available land in Kanchanpur Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.",Shri Sanjay Yadav (2024-30),95.1,Very High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/238628,"Construction of a community building on the available land in Kanchanpur Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.",Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/238630,"Construction of a community building on the available land in Mayil Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.",Shri Sanjay Yadav (2024-30),94.8,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/238631,"Construction of a community building on the available land in Daudnagar Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.",Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/238630,"Construction of a community building on the available land in Mayil Panchayat under Bidupur block, including one borewell with hand pump, one toilet, two urinals, one room (12 x 10), and one large hall.",Shri Sanjay Yadav (2024-30),95.0,Very High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP001/2026-2027/282687,"Utkramit Uchacha Madhyamik Vidyalay, Harlakhi, Block- Harlakhi, Dist.- Madhubani,",Shri Shambhu Sharan Patel (2022-28),WS/MP001/2026-2027/282688,"Utkramit Uchacha Madhyamik Vidyalay, Kalna, Block- Harlakhi, Dist.- Madhubani",Shri Shambhu Sharan Patel (2022-28),92.7,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP001/2026-2027/282687,"Utkramit Uchacha Madhyamik Vidyalay, Harlakhi, Block- Harlakhi, Dist.- Madhubani,",Shri Shambhu Sharan Patel (2022-28),WS/MP001/2026-2027/282689,"Utkramit Uchacha Madhyamik Vidyalay, Karuna, Block- Harlakhi, Dist.- Madhubani,",Shri Shambhu Sharan Patel (2022-28),92.3,High
Madhya Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP106/2023-2024/10167,"Gram Panchayat Ganeshpur, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.1)",Shri Vivek K. Tankha (2022-28),WS/MP106/2023-2024/10191,"Gram Panchayat Khargonkhurd, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.6)",Shri Vivek K. Tankha (2022-28),95.6,Very High
Madhya Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP106/2023-2024/10167,"Gram Panchayat Ganeshpur, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.1)",Shri Vivek K. Tankha (2022-28),WS/MP106/2023-2024/10169,"Gram Panchayat Kolwa, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.2)",Shri Vivek K. Tankha (2022-28),95.4,Very High
Madhya Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP106/2023-2024/10167,"Gram Panchayat Ganeshpur, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.1)",Shri Vivek K. Tankha (2022-28),WS/MP106/2023-2024/10170,"Gram Panchayat Lasu patla, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.3)",Shri Vivek K. Tankha (2022-28),94.1,High
Madhya Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP106/2023-2024/10167,"Gram Panchayat Ganeshpur, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.1)",Shri Vivek K. Tankha (2022-28),WS/MP106/2023-2024/10179,"Gram Panchayat Mandela Khedi , Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.4)",Shri Vivek K. Tankha (2022-28),94.0,High
Madhya Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP106/2023-2024/10167,"Gram Panchayat Ganeshpur, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.1)",Shri Vivek K. Tankha (2022-28),WS/MP106/2023-2024/10180,"Gram Panchayat Unchod, Janpad Panchayat Shujalpur hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.5)",Shri Vivek K. Tankha (2022-28),92.7,High
