"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6690","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/228107","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","12-Jul-2026","AZAD CEMENT STORE","Payment Success","53400"
"6691","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2026-2027/281903","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","20-Jul-2026","Reynold M Sangma","Payment Success","200000"
"6692","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2026-2027/281903","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","20-Jul-2026","Reynold M Sangma","Payment Success","200000"
"6693","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP524/2025-2026/267597","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Midhun Reddy","RAJAMPET","19-Jun-2026","P Haribabu Reddy","Payment Success","496889"
"6694","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP524/2025-2026/271401","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Midhun Reddy","RAJAMPET","19-Jun-2026","P Haribabu Reddy","Payment Success","493411"
"6695","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP829/2025-2026/238479","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","ULUBERIA","29-Jun-2026","S S D CONSTRUCTION","Payment Success","299604"
"6696","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18305/2025-2026/184477","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","21-Jul-2026","MEDICAL OFFICER PHC THENHIPALAM","Payment Success","23393"
"6697","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18305/2025-2026/184477","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","22-Jun-2026","MEDICAL OFFICER PHC THENHIPALAM","Payment Success","29492"
"6698","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18305/2025-2026/184489","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","22-Jun-2026","MEDICAL OFFICER AND PRESIDENT","Payment Success","43570"
"6699","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18305/2025-2026/184489","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","21-Jul-2026","MEDICAL OFFICER AND PRESIDENT","Payment Success","4101"
"6700","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/154236","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","24-Jun-2026","Subhash Chand Painter","Payment Success","2786"
"6701","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP478/2025-2026/154248","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","24-Jun-2026","Subhash Chand Painter","Payment Success","2799"
"6702","Odisha","Construction of community centers and community halls","WS/MP18358/2025-2026/188018","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","18-Jun-2026","Y NAGESWAR RAO","Payment Success","322595"
"6703","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP18113/2026-2027/247450","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","02-Jul-2026","vishal ramdas nikam","Payment Success","987912"
"6704","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP18113/2026-2027/247243","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","02-Jul-2026","vishal ramdas nikam","Payment Success","987912"
"6705","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2026-2027/210459","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","SELVARAJ V","NAGAPATTINAM(SC)","12-Jun-2026","Aakash Construction","Payment Success","4000000"
"6706","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18355/2026-2027/259148","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","19-Jun-2026","BENAKA ENTERPRISES","Payment Success","498522"
"6707","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP745/2026-2027/189091","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K Subbarayan","TIRUPPUR","23-Jun-2026","S SELVI","Payment Success","1489479"
"6708","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18149/2025-2026/185019","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA","PURI","18-Jun-2026","BIPLABA KESHARI PRADHAN","Payment Success","99962"
"6709","Uttar Pradesh","Development of playground","WS/MP18206/2026-2027/255954","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","BANDA","15-Jun-2026","Jamuna Prasad","Payment Success","36402"
"6710","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/234713","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","26-Jul-2026","JUNIOR ENGINEER BLOCK OFFICE LAXMIPUR GHADEI","Payment Success","250000"
"6711","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2025-2026/257894","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","21-Jul-2026","Anisetty Nageswar Rao","Payment Success","498711"
"6712","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2024-2025/158081","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","23-Jun-2026","Anisetty Nageswar Rao","Payment Success","497100"
"6713","Telangana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18194/2026-2027/224371","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","SURESH KUMAR SHETKAR","ZAHIRABAD","17-Jun-2026","LAXMI AUTO AGENCIES PRIVATE LIMITED","Payment Success","108000"
"6714","Telangana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18194/2026-2027/224374","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","SURESH KUMAR SHETKAR","ZAHIRABAD","17-Jun-2026","LAXMI AUTO AGENCIES PRIVATE LIMITED","Payment Success","108000"
"6715","Odisha","Installing community drinking water plants","WS/MP18141/2026-2027/277730","DHENKANAL(DISTRICT COLLECTOR DHENKANAL_IDA)","RUDRA NARAYAN PANY","DHENKANAL","18-Jun-2026","SHREYA ENTERPRISES","Payment Success","122000"
"6716","Gujarat","Construction of footpaths and pedestrian ways","WS/MP582/2025-2026/256921","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","19-Jun-2026","KHANPUR MIRAPUR GROUP GRAM PANCHAY","Payment Success","500000"
"6717","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2026-2027/219314","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","06-Jul-2026","gram panchayat padalwas","Payment Success","81994"
"6718","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP866/2025-2026/213688","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Kalanidhi Veeraswamy","CHENNAI NORTH","15-Jun-2026","DEEPA TRADERS","Payment Success","5199865"
"6719","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP866/2025-2026/213688","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Kalanidhi Veeraswamy","CHENNAI NORTH","01-Sep-2026","DEEPA TRADERS","Payment Success","2294929"
"6720","Gujarat","Purchase of hearse van (Four, three and two wheelers)","WS/MP18344/2025-2026/198302","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","17-Jun-2026","SHREE VISHWAKARMA INDUSTRIES","Payment Success","1000000"
"6721","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/198359","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","29-Jun-2026","BASAVARAJ GOUDAPPA KARIKALL","Payment Success","375000"
"6722","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Kanech Building Material Store","Payment Success","22200"
"6723","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Kanech Building Material Store","Payment Success","24570"
"6724","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Sandhu Bricks","Payment Success","42001"
"6725","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Sandhu Bricks","Payment Success","42001"
"6726","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Sumit Iron Store","Payment Success","22550"
"6727","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Najar Singh","Payment Success","6150"
"6728","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Najar Singh","Payment Success","24850"
"6729","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Najar Singh","Payment Success","24850"
"6730","Punjab","Construction of rooms and halls in school and colleges","WS/MP380/2026-2027/272209","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","15-Jun-2026","Punjab Mechanical Works","Payment Success","117965"
"6731","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18276/2025-2026/256946","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","19-Jun-2026","GOJALI GRAM PANCHAYAT","Payment Success","350000"
"6732","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP526/2026-2027/275163","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","15-Jun-2026","Padmanabha Reddy R","Payment Success","497040"
"6733","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/223017","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","24-Jun-2026","GRAM PANCHAYAT VANBHORI","Payment Success","250000"
"6734","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/223021","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","24-Jun-2026","GRAM PANCHAYAT VANBHORI","Payment Success","250000"
"6735","Odisha","Construction of rooms and halls in school and colleges","WS/MP18143/2025-2026/248333","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","16-Jun-2026","PRATAP KUMAR SETHY","Payment Success","315302"
"6736","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/255358","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","20-Jun-2026","MANDALI GRAM PANCHAYAT","Payment Success","200000"
"6737","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2025-2026/238413","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","16-Jul-2026","MK Traders","Payment Success","79800"
"6738","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2026-2027/263118","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","17-Jul-2026","MK Traders","Payment Success","79800"
"6739","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2026-2027/275510","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","17-Jul-2026","MK Traders","Payment Success","79800"
"6740","Haryana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18066/2025-2026/238414","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","13-Jul-2026","MK Traders","Payment Success","79800"
"6741","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/255362","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","15-Jun-2026","AJABPURA GRAM PANCHAYAT","Payment Success","200000"
"6742","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/185035","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","02-Jul-2026","SUJANPURA GRAM PANCHAYAT","Payment Success","105389"
"6743","Tamil Nadu","Street lights","WS/MP18175/2025-2026/266703","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","19-Jun-2026","SANJAI TRADERS","Payment Success","566070"
"6744","Tamil Nadu","Street lights","WS/MP18175/2025-2026/266702","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","19-Jun-2026","SANJAI TRADERS","Payment Success","566070"
"6745","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/245507","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Jun-2026","Somanath Bacheli","Payment Success","250000"
"6746","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/245506","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Jun-2026","Somanath Bacheli","Payment Success","250000"
"6747","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/245508","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Jun-2026","Somanath Bacheli","Payment Success","250000"
"6748","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18414/2026-2027/247595","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","ANIL BALUNI","GARHWAL","19-Jun-2026","DALBEER SINGH","Payment Success","997800"
"6749","Uttarakhand","Purchase of ambulance to transport sick and injured animals","WS/MP18415/2025-2026/199861","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","TRIVENDRA SINGH RAWAT","HARDWAR","18-Jun-2026","Chief Veternary Officer Haridwar","Payment Success","1112500"
"6750","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18176/2025-2026/206488","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","22-Jun-2026","G R Construction","Payment Success","2989060"
"6751","Kerala","Construction of culverts and bridges","WS/MP343/2025-2026/244494","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","25-Jun-2026","REJI S","Payment Success","594367"
"6752","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP575/2025-2026/235059","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","13-Jul-2026","GRAM PANCHAYAT KHEGAM","Payment Success","500000"
"6753","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/290483","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","SFC GRAM PANCHAYAT MATHNI","Payment Success","75000"
"6754","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/228773","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","01-Aug-2026","Govind Chandra Mohanta","Payment Success","380228"
"6755","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"6756","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"6757","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"6758","Punjab","Construction of stadiums","WS/MP716/2025-2026/210101","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jun-2026","NAMBARDAR BRICKS CO","Payment Success","73500"
"6759","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/228776","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","18-Jun-2026","Ratha Kishore Sahoo","Payment Success","234007"
"6760","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/228775","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","18-Jun-2026","Ratha Kishore Sahoo","Payment Success","281157"
"6761","Gujarat","Providing garbage collection and disposal systems","WS/	 MP575/2025-2026/192010","SURAT(DISTRICT COLLECTOR SURAT_IDA)","C R Patil","NAVSARI","18-Jun-2026","ANANTA TRACTORS","Payment Success","908000"
"6762","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/154216","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","Bir Singh","Payment Success","10000"
"6763","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18141/2025-2026/242897","Anugola(DISTRICT COLLECTORANGUL_IDA)","RUDRA NARAYAN PANY","DHENKANAL","18-Jun-2026","Kumudini Behera","Payment Success","622128"
"6764","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP478/2025-2026/154216","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","18-Jun-2026","Prem Singh Panwar","Payment Success","9600"
"6765","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/236227","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","22-Jun-2026","S S Enterprise","Payment Success","340430"
"6766","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/251006","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","17-Jun-2026","CHITTARANJAN PATRA","Payment Success","682254"
"6767","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/251006","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","11-Aug-2026","CHITTARANJAN PATRA","Payment Success","117746"
"6768","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","RAJ KUMAR","Payment Success","43100"
"6769","Punjab","Construction of footpaths and pedestrian ways","WS/MP18153/2025-2026/212053","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","22-Jun-2026","RAJ KUMAR","Payment Success","17800"
"6770","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","RAJ KUMAR","Payment Success","70528"
"6771","Punjab","Construction of footpaths and pedestrian ways","WS/MP18153/2025-2026/212053","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","22-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","41381"
"6772","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","47840"
"6773","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","55960"
"6774","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","ARMAN TILES INDUSTRIS","Payment Success","47840"
"6775","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHREE SHYAM TRADING COMPANY","Payment Success","126776"
"6776","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHREE SHYAM TRADING COMPANY","Payment Success","126776"
"6777","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","83370"
"6778","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212052","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","16-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","92550"
"6779","Punjab","Construction of footpaths and pedestrian ways","WS/MP18153/2025-2026/212053","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","22-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","40819"
"6780","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/212055","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","23-Jun-2026","SHIV SHAKTI CEMENT AND SHUTTERING STORE","Payment Success","105260"
"6781","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/227273","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jun-2026","LAXMI BRICKS COMPANY","Payment Success","233470"
"6782","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/227273","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","12-Jun-2026","AMIT GOVT CONTRACTOR","Payment Success","1291801"
"6783","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/254814","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","16-Jun-2026","GOPAL SINGH RAWAT","Payment Success","293761"
"6784","Odisha","Construction of footpaths and pedestrian ways","WS/MP18144/2024-2025/141587","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","KALAHANDI","29-May-2026","Gajaraj Majhi","Payment Success","600000"
"6785","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18276/2025-2026/242967","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","15-Jul-2026","palasvada gram panchayat","Payment Success","490000"
"6786","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18276/2025-2026/256947","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","25-Jun-2026","palasvada gram panchayat","Payment Success","350000"
"6787","Punjab","Establishing public lift irrigation projects","WS/MP18155/2025-2026/250539","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","29-May-2026","pawan kumar","Payment Success","46800"
