"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"16752","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/175486","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Jan-2026","hem chandra","Payment Success","21816"
"16753","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18026/2025-2026/181972","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","16-Jan-2026","PHILIP NARZARY","Payment Success","300000"
"16754","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/242800","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","19-May-2026","RAJESH KUMAR","Payment Success","185540"
"16755","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/242799","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","19-May-2026","RAJESH KUMAR","Payment Success","185578"
"16756","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/219651","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","24-Apr-2026","SATENDRA KUMAR","Payment Success","227590"
"16757","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/193428","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","28-Jun-2026","SATENDRA KUMAR","Payment Success","900641"
"16758","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243686","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","28-Jun-2026","SATENDRA KUMAR","Payment Success","417569"
"16759","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/224805","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","25-Jun-2026","SATENDRA KUMAR","Payment Success","624444"
"16760","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243686","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","07-May-2026","SATENDRA KUMAR","Payment Success","627510"
"16761","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/193428","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Smt Dimple Yadav","MAINPURI","24-Feb-2026","SATENDRA KUMAR","Payment Success","1189370"
